"name","source","type","regime","score_type","description","url","notes","is_standard","created_by_email"
"Fran","CrossFit","Girl","Fastest Time","Time (HH:MM:SS)","**21-15-9 reps for time:**
- Thrusters (95/65 lb)
- Pull-ups","","Classic benchmark - one of the original Girl WODs","TRUE",""
"Cindy","CrossFit","Girl","AMRAP","Rounds+Reps","**20 min AMRAP:**
- 5 Pull-ups
- 10 Push-ups
- 15 Air Squats","","Bodyweight benchmark","TRUE",""
"Diane","CrossFit","Girl","Fastest Time","Time (HH:MM:SS)","**21-15-9 reps for time:**
- Deadlifts (225/155 lb)
- Handstand Push-ups","","Heavy deadlifts with gymnastic pressing","TRUE",""
"Helen","CrossFit","Girl","Fastest Time","Time (HH:MM:SS)","**3 rounds for time:**
- 400m Run
- 21 Kettlebell Swings (53/35 lb)
- 12 Pull-ups","","Mixed modal cardio and gymnastics","TRUE",""
"Grace","CrossFit","Girl","Fastest Time","Time (HH:MM:SS)","**For time:**
- 30 Clean & Jerks (135/95 lb)","","Pure barbell benchmark","TRUE",""
"Isabel","CrossFit","Girl","Fastest Time","Time (HH:MM:SS)","**For time:**
- 30 Snatches (135/95 lb)","","Olympic lifting benchmark","TRUE",""
"Annie","CrossFit","Girl","Fastest Time","Time (HH:MM:SS)","**50-40-30-20-10 reps for time:**
- Double Unders
- Sit-ups","","Jump rope and core work","TRUE",""
"Nancy","CrossFit","Girl","Fastest Time","Time (HH:MM:SS)","**5 rounds for time:**
- 400m Run
- 15 Overhead Squats (95/65 lb)","","Running and overhead squatting","TRUE",""
"Karen","CrossFit","Girl","Fastest Time","Time (HH:MM:SS)","**For time:**
- 150 Wall Balls (20/14 lb to 10/9 ft target)","","High volume wall balls","TRUE",""
"Jackie","CrossFit","Girl","Fastest Time","Time (HH:MM:SS)","**For time:**
- 1000m Row
- 50 Thrusters (45/35 lb)
- 30 Pull-ups","","Mixed modal sprint workout","TRUE",""
"Amanda","CrossFit","Girl","Fastest Time","Time (HH:MM:SS)","**9-7-5 reps for time:**
- Muscle-ups
- Squat Snatches (135/95 lb)","","Advanced gymnastics and Olympic lifting","TRUE",""
"Lynne","CrossFit","Girl","AMRAP","Rounds+Reps","**5 rounds for max reps:**
- Bodyweight Bench Press
- Pull-ups","","Upper body strength test","TRUE",""
"Mary","CrossFit","Girl","AMRAP","Rounds+Reps","**20 min AMRAP:**
- 5 Handstand Push-ups
- 10 Pistol Squats
- 15 Pull-ups","","Advanced gymnastics benchmark","TRUE",""
