name,type,description,is_standard,created_by_email
DB Superman's,weightlifting,https://www.youtube.com/watch?v=A6RXOJ3FxUA,TRUE,
Barbell RDL (DF),weightlifting,"

https://www.youtube.com/watch?v=mZxxJEncsyw

",TRUE,
Rack Pull Ups,gymnastics,https://www.youtube.com/watch?v=C7qIgpv_iQs,TRUE,
1 + 1/2(x2) Deadlift,weightlifting,,TRUE,
Snatch Grip RDL,weightlifting,https://www.youtube.com/watch?v=UhGKQNVRhaI,TRUE,
Slow/Pause Snatch,weightlifting,"*5-second pull from floor to knee, then full speed to catch + 3-sec pause before standing up",TRUE,
Close Grip Bench Press,weightlifting,Close Grip means hands in Push-Up position,TRUE,
Paused Bench,weightlifting,5 X3,TRUE,
Bent Over Row,weightlifting,,TRUE,
Clean and Jerk,weightlifting,,TRUE,
1/2 Kneeling Landmine Press,weightlifting,https://www.youtube.com/watch?v=_ArzG9qz-yM,TRUE,
Pull-ups,gymnastics,,TRUE,
Trap Bar Deadlift (DF),weightlifting,"

https://www.youtube.com/watch?v=EbmS0VyZk-E

",TRUE,
Bench press double arm with two DB,weightlifting,"Sit down on a utility bench with two dumbbells resting on the lower thighs. Kick weights to shoulder and lie back. Position the dumbbells to the sides of the chest with bent arms under each dumbbell.

Press the dumbbells up with the elbows to the sides until the arms are extended. Lower weights to the sides of the upper chest until a slight stretch is felt in the chest or shoulder. Repeat.

The dumbbells should follow a slight arch pattern, above the upper arm between the elbow and chest at the bottom, traveling inward over each shoulder at the top.",TRUE,
Barbell Bridge,weightlifting,,TRUE,
Plank Hold,gymnastics,,TRUE,
Bear Complex,weightlifting,"Power Clean
Front Squat
Push Press
Back Squat
Second Push Press",TRUE,
Shoulder Press,weightlifting,,TRUE,
Single Arm Dumbbell Press,weightlifting,,TRUE,
Back Rack Lunge,weightlifting,,TRUE,
T Bar Rows,weightlifting,"Use the T-Bar Attatchment and the landmine attatchment to set up. 
These rows are done in a deadlift stance over the bar. Slightly upright torso. Focus on the squeeze and a slow lower.",TRUE,
Landmine Press (Standing),weightlifting,https://www.youtube.com/watch?v=jCfcGei-NqM,TRUE,
Squat Jumps,gymnastics,https://www.youtube.com/watch?v=72BSZupb-1I,TRUE,
Box Squat (Loaded),weightlifting,https://www.youtube.com/watch?v=mjm3W3tQejM,TRUE,
Front Foot Elevated Reverse Lunge,weightlifting,,TRUE,
Side-To-Side Plank,gymnastics,,TRUE,
Russian Ab Twist,weightlifting,,TRUE,
Barbell Good Mornings,weightlifting,https://www.youtube.com/watch?v=zV1XPKiCFsY,TRUE,
Sled Drag,weightlifting,,TRUE,
DB Shoulder Press,weightlifting,,TRUE,
OH Tricep Extensions,weightlifting,https://www.youtube.com/watch?v=QbuaXgugLtg,TRUE,
Close-Grip Floor Press,weightlifting,,TRUE,
Landmine Meadows Row,weightlifting,https://www.youtube.com/watch?v=uVQbOHgjOUI,TRUE,
