name,source,type,regime,score_type,description,url,notes,is_standard,created_by_email
Amanda,CrossFit,Girl,Fastest Time,Time (HH:MM:SS),"**9-7-5 reps for time:**
- Muscle-ups
- Squat Snatches (135/95 lb)",,Advanced gymnastics and Olympic lifting,true,
Angie,CrossFit,Girl,Fastest Time,Time (HH:MM:SS),"**For time:**
- 100 Pull-ups
- 100 Push-ups
- 100 Sit-ups
- 100 Air Squats",,Bodyweight benchmark - 400 total reps,true,
Annie,CrossFit,Girl,Fastest Time,Time (HH:MM:SS),"50-40-30-20-10 reps for time of: Double-Unders, Sit-ups",https://www.crossfit.com/workout/annie,,true,
Arnie,CrossFit,Hero,Fastest Time,Time (HH:MM:SS),"**With a 20 lb vest, for time:**
- 21 Turkish Get-ups
- 50 Swings (70/53 lb)
- 21 Overhead Walking Lunges (45/25 lb plate)
- 50 Swings
- 21 Turkish Get-ups",,Weighted vest kettlebell work - honoring Arnaldo Quinones,true,
Baddy,CrossFit,Benchmark,Fastest Time,Time (HH:MM:SS),"**30-20-10 reps for time:**
- Thrusters (95/65 lb)
- Chest-to-Bar Pull-ups",,Thruster and pull-up variation,true,
Badger,CrossFit,Hero,Fastest Time,Time (HH:MM:SS),"**3 rounds for time:**
- 30 Squat Cleans (95/65 lb)
- 30 Pull-ups
- 800m Run",,Running and barbell - honoring Mark Carter,true,
Barbara,CrossFit,Girl,Fastest Time,Time (HH:MM:SS),"**5 rounds for time:**
- 20 Pull-ups
- 30 Push-ups
- 40 Sit-ups
- 50 Air Squats

*Rest 3 min between rounds*",,Descending rep scheme with rest,true,
Bear Complex,CrossFit,Benchmark,Get Stronger,Max Weight,"**7 sets of:**
- Power Clean
- Front Squat
- Push Press
- Back Squat
- Push Press

*1 rep = complete complex unbroken*",,Complex barbell movement for max weight,true,
Blake,CrossFit,Hero,Fastest Time,Time (HH:MM:SS),"**4 rounds for time:**
- 100 ft Walking Lunge
- 30 Box Jumps (24/20 in)
- 20 Wallballs (20/14 lb)
- 10 Handstand Push-ups",,Mixed modal - honoring Travis Blake,true,
Bradley,CrossFit,Hero,Fastest Time,Time (HH:MM:SS),"**5 rounds for time:**
- 11 Back Squats (225/155 lb)
- 800m Run",,Heavy squats and running - honoring PFC Bradley Rappuhn,true,
Bull,CrossFit,Hero,Fastest Time,Time (HH:MM:SS),"**2 rounds for time:**
- 200 Double Unders
- 50 Overhead Squats (135/95 lb)
- 50 Pull-ups
- 1 mile Run",,Long chipper - honoring Mark Carter,true,
Candy,CrossFit,Girl,Fastest Time,Time (HH:MM:SS),"**5 rounds for time:**
- 20 Pull-ups
- 40 Push-ups
- 60 Air Squats",,Bodyweight triplet with high volume,true,
Chelsea,CrossFit,Girl,EMOM,Rounds+Reps,"**30 min EMOM:**
- 5 Pull-ups
- 10 Push-ups
- 15 Air Squats",,High volume bodyweight EMOM,true,
Cindy,CrossFit,Girl,AMRAP,Rounds+Reps,"20 min AMRAP of: 5 Pull-ups, 10 Push-ups, 15 Air Squats",https://www.crossfit.com/workout/cindy,,true,
Clovis,CrossFit,Hero,Fastest Time,Time (HH:MM:SS),"**10 rounds for time:**
- 5 Pull-ups
- 10 Push-ups
- 15 Air Squats
- 400m Run",,Long chipper with running - honoring Robert Clovis,true,
Daniel,CrossFit,Hero,Fastest Time,Time (HH:MM:SS),"**5 rounds for time:**
- 50 Pull-ups
- 400m Run
- 21 Thrusters (95/65 lb)
- 800m Run
- 21 Thrusters (95/65 lb)
- 400m Run
- 50 Pull-ups",,Long chipper with running - honoring Daniel Cranendonk,true,
Diane,CrossFit,Girl,Fastest Time,Time (HH:MM:SS),"21-15-9 reps for time of: Deadlifts (225/155 lb), Handstand Push-ups",https://www.crossfit.com/workout/diane,,true,
DT,CrossFit,Hero,Fastest Time,Time (HH:MM:SS),"5 rounds for time of: 12 Deadlifts (155/105 lb), 9 Hang Power Cleans (155/105 lb), 6 Push Jerks (155/105 lb)",https://www.crossfit.com/workout/dt,,true,
Elizabeth,CrossFit,Girl,Fastest Time,Time (HH:MM:SS),"21-15-9 reps for time of: Cleans (135/95 lb), Dips",https://www.crossfit.com/workout/elizabeth,,true,
Eva,CrossFit,Girl,Fastest Time,Time (HH:MM:SS),"**5 rounds for time:**
- 800m Run
- 30 Kettlebell Swings (53/35 lb)
- 30 Pull-ups",,Long chipper with running,true,
Even-esence,Self-recorded,Notables,AMRAP,Rounds+Reps,"Even-escence

Score Rounds and Reps

RX

4 SETS

AMRAP in 4:00*

2 Bar Muscle-Ups

4 Handstand Push-Ups

6 Burpees

24 Double-Unders

-Rest 1:00 b/t each Set-

*Pick up where you left off.

INTERMEDIATE

4 SETS

AMRAP x 4 MINUTES*

2 Strict Pull-Ups

4 DB Push Press (20/35#)

6 Burpees

50 Single Unders

-Rest 1:00 b/t each Set-

*Pick up where you left off.

FOUNDATIONS

4 SETS

AMRAP x 4 MINUTES*

2 Ring Rows

4 DB Push Press (up to 10/15#)

6 Bear Burpees

24 Single Unders or Plate Taps

-Rest 1:00 b/t each Set-

*Pick up where you left off.

SCORE = Rounds and Reps

WOD TYPE: EFFORT

Intended Stimulus: 9-15 Rounds

RPE: 8

Partner Workout Option

IN TEAMS OF 2...

Score Rounds and Reps

AMRAP x 19 MINUTES

1 Bar Muscle-Up or Strict Pull-Up

2 Handstand Push-Ups or DB Push Press (Athlete Choice)

3 Burpees (Athlete Choice)

24 Double Unders or 50 Single Unders

*P1 will completes a full round while P2 rests. Once a full round is completed partners switch.

(Score is Rounds + Reps)",,,true,
