name,source,type,regime,score_type,description,url,notes,is_standard,created_by_email
Fran,CrossFit,Girl,Fastest Time,Time (HH:MM:SS),"21-15-9 reps for time of: Thrusters (95/65 lb), Pull-ups",https://wodwell.com/wod/fran/,Classic CrossFit benchmark,true,
Cindy,CrossFit,Girl,AMRAP,Rounds+Reps,"20 min AMRAP of: 5 Pull-ups, 10 Push-ups, 15 Air Squats",https://wodwell.com/wod/cindy/,Bodyweight AMRAP benchmark,true,
Murph,CrossFit,Hero,Fastest Time,Time (HH:MM:SS),"For time: 1 mile Run, 100 Pull-ups, 200 Push-ups, 300 Air Squats, 1 mile Run (wear 20 lb vest if possible)",https://wodwell.com/wod/murph/,Memorial Day tradition - honoring Lt. Michael Murphy,true,
Grace,CrossFit,Girl,Fastest Time,Time (HH:MM:SS),"30 Clean and Jerks for time (135/95 lb)",https://wodwell.com/wod/grace/,Olympic lifting benchmark,true,
Isabel,CrossFit,Girl,Fastest Time,Time (HH:MM:SS),"30 Snatches for time (135/95 lb)",https://wodwell.com/wod/isabel/,Olympic lifting benchmark,true,
Diane,CrossFit,Girl,Fastest Time,Time (HH:MM:SS),"21-15-9 reps for time of: Deadlifts (225/155 lb), Handstand Push-ups",https://wodwell.com/wod/diane/,Heavy deadlifts and gymnastics,true,
Helen,CrossFit,Girl,Fastest Time,Time (HH:MM:SS),"3 rounds for time of: 400m Run, 21 Kettlebell Swings (53/35 lb), 12 Pull-ups",https://wodwell.com/wod/helen/,Running and kettlebell benchmark,true,
Annie,CrossFit,Girl,Fastest Time,Time (HH:MM:SS),"50-40-30-20-10 reps for time of: Double-Unders, Sit-ups",https://wodwell.com/wod/annie/,Jump rope and core work,true,
Nancy,CrossFit,Girl,Fastest Time,Time (HH:MM:SS),"5 rounds for time: 400m Run, 15 Overhead Squats (95/65 lb)",https://wodwell.com/wod/nancy/,Running and overhead squatting,true,
Kelly,CrossFit,Girl,Fastest Time,Time (HH:MM:SS),"5 rounds for time: 400m Run, 30 Box Jumps (24/20 in), 30 Wall Balls (20/14 lb)",https://wodwell.com/wod/kelly/,High volume running and jumping,true,
Jackie,CrossFit,Girl,Fastest Time,Time (HH:MM:SS),"For time: 1000m Row, 50 Thrusters (45/35 lb), 30 Pull-ups",https://wodwell.com/wod/jackie/,Mixed modal sprint workout,true,
Linda,CrossFit,Girl,Fastest Time,Time (HH:MM:SS),"10-9-8-7-6-5-4-3-2-1 reps for time: Deadlifts (1.5x BW), Bench Press (BW), Squat Cleans (0.75x BW)",https://wodwell.com/wod/linda/,Three bars of death,true,
DT,CrossFit,Hero,Fastest Time,Time (HH:MM:SS),"5 rounds for time of: 12 Deadlifts (155/105 lb), 9 Hang Power Cleans (155/105 lb), 6 Push Jerks (155/105 lb)",https://wodwell.com/wod/dt/,Barbell complex - honoring Timothy P. Davis,true,
Filthy Fifty,CrossFit,Benchmark,Fastest Time,Time (HH:MM:SS),"For time: 50 Box Jumps, 50 Jumping Pull-ups, 50 KB Swings, 50 Walking Lunges, 50 K2E, 50 Push Press, 50 Back Extensions, 50 Wall Balls, 50 Burpees, 50 Double Unders",https://wodwell.com/wod/filthy-50/,Classic 500 rep chipper,true,
Fight Gone Bad,CrossFit,Benchmark,AMRAP,Total Reps,"3 rounds: 1 min Wall Balls, 1 min SDHP (75/55 lb), 1 min Box Jumps, 1 min Push Press (75/55 lb), 1 min Row (cal), 1 min Rest",https://wodwell.com/wod/fight-gone-bad/,Total reps scored across stations,true,
The Seven,CrossFit,Hero,Fastest Time,Time (HH:MM:SS),"7 rounds: 7 HSPU, 7 Thrusters (135/95 lb), 7 K2E, 7 Deadlifts (245/165 lb), 7 Burpees, 7 KB Swings (70/53 lb), 7 Pull-ups",https://wodwell.com/wod/the-seven/,Honoring seven fallen SEAL Team members,true,
Angie,CrossFit,Girl,Fastest Time,Time (HH:MM:SS),"For time: 100 Pull-ups, 100 Push-ups, 100 Sit-ups, 100 Air Squats",https://wodwell.com/wod/angie/,Bodyweight benchmark - 400 total reps,true,
Barbara,CrossFit,Girl,Fastest Time,Time (HH:MM:SS),"5 rounds for time: 20 Pull-ups, 30 Push-ups, 40 Sit-ups, 50 Air Squats (Rest 3 min between rounds)",https://wodwell.com/wod/barbara/,Descending rep scheme with rest,true,
Chelsea,CrossFit,Girl,EMOM,Rounds+Reps,"30 min EMOM: 5 Pull-ups, 10 Push-ups, 15 Air Squats",https://wodwell.com/wod/chelsea/,High volume bodyweight EMOM,true,
JT,CrossFit,Hero,Fastest Time,Time (HH:MM:SS),"21-15-9 reps for time: Handstand Push-ups, Ring Dips, Push-ups",https://wodwell.com/wod/jt/,Pure pressing volume - honoring Jeffrey Taylor,true,
Randy,CrossFit,Hero,Fastest Time,Time (HH:MM:SS),"75 Power Snatches for time (75/55 lb)",https://wodwell.com/wod/randy/,High rep snatches - honoring Randy Simmons,true,
Nate,CrossFit,Hero,AMRAP,Rounds+Reps,"20 min AMRAP: 2 Muscle-ups, 4 Handstand Push-ups, 8 Kettlebell Swings (70/53 lb)",https://wodwell.com/wod/nate/,Advanced gymnastics AMRAP - honoring Nate Hardy,true,
Jason,CrossFit,Hero,Fastest Time,Time (HH:MM:SS),"For time: 100 Squats, 5 Muscle-ups, 75 Squats, 10 Muscle-ups, 50 Squats, 15 Muscle-ups, 25 Squats, 20 Muscle-ups",https://wodwell.com/wod/jason/,Muscle-up volume - honoring Jason Lewis,true,
Michael,CrossFit,Hero,Fastest Time,Time (HH:MM:SS),"3 rounds for time: 800m Run, 50 Back Extensions, 50 Sit-ups",https://wodwell.com/wod/michael/,Running and midline work - honoring Michael McGreevy,true,
Daniel,CrossFit,Hero,Fastest Time,Time (HH:MM:SS),"For time: 50 Pull-ups, 400m Run, 21 Thrusters (95/65 lb), 800m Run, 21 Thrusters, 400m Run, 50 Pull-ups",https://wodwell.com/wod/daniel/,Long chipper with running - honoring Daniel Cranendonk,true,
Tommy V,CrossFit,Hero,Fastest Time,Time (HH:MM:SS),"For time: 21 Thrusters (115/80 lb), 12 Rope Climbs, 15 Thrusters, 9 Rope Climbs, 9 Thrusters, 6 Rope Climbs",https://wodwell.com/wod/tommy-v/,Thrusters and rope climbs - honoring Thomas Valentine,true,
Bradley,CrossFit,Hero,Fastest Time,Time (HH:MM:SS),"5 rounds for time: 11 Back Squats (225/155 lb), 800m Run",https://wodwell.com/wod/bradley/,Heavy squats and running - honoring PFC Bradley Rappuhn,true,
Nutts,CrossFit,Hero,Fastest Time,Time (HH:MM:SS),"10 rounds for time: 10 Handstand Push-ups, 15 Deadlifts (250/175 lb)",https://wodwell.com/wod/nutts/,Pressing and heavy deadlifts - honoring Timothy Nuttall,true,
Kalsu,CrossFit,Hero,Fastest Time,Time (HH:MM:SS),"For time: 100 Thrusters (135/95 lb) - EMOM start with 5 Burpees",https://wodwell.com/wod/kalsu/,One of the hardest Hero WODs - honoring Robert Kalsu,true,
Bear Complex,CrossFit,Benchmark,Get Stronger,Max Weight,"7 sets of: Power Clean, Front Squat, Push Press, Back Squat, Push Press (1 rep = complete complex unbroken)",https://wodwell.com/wod/bear-complex/,Complex barbell movement for max weight,true,
12 Days Of Christmas,CrossFit,Benchmark,Fastest Time,Time (HH:MM:SS),"Ascending ladder 1-12: 1 L-sit Rope Climb, 2 Strict HSPU, 3 Power Cleans, 4 KB Swings, 5 Box Jumps, 6 Thrusters, 7 Pull-ups, 8 Burpees, 9 T2B, 10 Push-ups, 11 Deadlifts, 12 Wall Balls",https://wodwell.com/wod/12-days-christmas/,Holiday-themed chipper,false,
Bert,CrossFit,Hero,Fastest Time,Time (HH:MM:SS),"For time: 50 Burpees, 400m Farmer Carry (45/25 lb), 50 Burpees",https://wodwell.com/wod/bert/,Burpees and carries - honoring Albert Gettings,true,
Loredo,CrossFit,Hero,Fastest Time,Time (HH:MM:SS),"6 rounds for time: 24 Squats, 24 Push-ups, 24 Walking Lunges, 400m Run",https://wodwell.com/wod/loredo/,Bodyweight and running - honoring PFC Steven Loredo,true,
